id,Tisch F4 Collection Name ,Notes
tufts:14218,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-13T08:03:49.674-04:00
tufts:14219,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-13T08:03:49.674-04:00
tufts:14220,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-13T08:03:49.674-04:00
tufts:14255,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14256,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14257,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14258,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14259,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14260,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14261,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14262,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14263,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14264,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14265,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14266,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14267,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14268,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14269,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14270,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14271,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14272,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14273,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14274,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14275,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14276,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14277,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14278,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14279,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14280,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14281,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T08:54:11.975-04:00
tufts:14282,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14283,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14284,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14285,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14286,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14287,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14288,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14289,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14290,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14291,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14292,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14293,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14294,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14295,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14296,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14297,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14298,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14299,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14300,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14301,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14302,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T10:29:51.739-04:00
tufts:14303,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14304,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14305,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14306,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14307,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14308,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14309,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14310,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14311,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14312,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14313,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14314,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14315,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14316,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14317,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14318,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14319,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14320,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14321,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14322,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14323,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14324,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14325,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
