pid,title,tranform,other Element to Look For,HighLevelCollectionName
tufts:12521,Untitled.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12505,Spirit Spouse.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12519,"Reliquary Guardian\, Mvai Style.",ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12520,Flag for a New World Power.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12504,Initiation Wall Panels.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12522,Dispersion.,ArtBatchTransform: 2014-12-16T08:25:13.892-05:00,displaysIn:Trove,Trove
tufts:12546,Ancient Rome.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12559,Concert in the Tuileries Gardens.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12561,Reading from Molière.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12544,"Barrelmakers’ House\, Ideal City of Chaux.",ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12547,Project for a Panopticon (Prison).,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12545,"U.S. Capitol\, West Facade.",ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12560,The Angelus.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12550,Massacre at Chios.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12548,The Intervention of the Sabine Women.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12531,Soap Bubbles.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12532,Portland Vase Copy.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12543,Royal Saltworks of Arc-Et-Senans.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12549,"Plate 15 from ""The Disasters of War"": And There Is Nothing to Be Done.",ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12534,"The Colosseum\, Rome.",ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12528,Penelope Boothby.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12533,"Colonel the Hon. William Gordon\, Rome.",ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12530,Venice: The Basin of San Marco on Ascension Day.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12529,Tomb Monument of Penelope Boothby.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12527,Madame De Pompadour.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12542,Essay on Architecture.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12538,"U.S. Capitol\, Senate Rotunda Interior.",ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12535,Madame Recamier.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12554,Snowstorm: A Steamboat Off a Harbor's Mouth.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12551,Wanderer Above the Sea of Fog.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12555,Large Enclosure.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12539,Charging Chasseur.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12558,Cloud Studies.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12523,Morning Coffee.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12552,Venice.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12557,Forest at Fontainebleau.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12553,The Burning of the Houses of Parliament.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12526,Countess Spencer and Her Daughter.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12524,Hôtel De Soubise.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12525,Rococo Design.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12541,Vitruvian Man.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12540,Landscape with Diogenes Renouncing His Bowl.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12536,Osterley Park House: Etruscan Room.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12537,Gin Lane.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12556,Paestum During a Storm.,ArtBatchTransform: 2014-12-16T08:28:55.036-05:00,displaysIn:Trove,Trove
tufts:12577,"The Migration Series\, Panel No. 1: During World War I There Was a Great Migration North by Southern African Americans.",ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12563,Bauhaus Building.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12595,Ladybug.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12576,"Ruins of Guernica\, Spain.",ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12564,"Interior\, Schröder House\, with ""Red-blue"" Chair.",ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12592,Woman I.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12598,Vir Heroicus Sublimis.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12591,Autumn Rhythm (Number 30).,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12566,The Horde.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12597,Mountains and Sea.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12593,Jackson Pollock.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
